hxwsj@gmshmas3o> eaw MSC50;
<!collect IOT_subscriber!
<!display MSC's MT MOBILE SUBSCRIBER!
<ioexp;
EXCHANGE IDENTITY DATA

IDENTITY
SHG50CN79B/KD/04/05/75

END


<mgsvp;
MT MOBILE SUBSCRIBER SURVEY

HLRADDR             NSUB       NSUBA      NSUBOCSI
4-491700600133            1          1          0
4-861500438000           23         23         10
4-8618253517474          93         81         40
4-6590475003             22         13          0
4-14054729365             2          1          2
4-324750004001301         1          0          1
4-16363848249             1          1          0
4-919820005714648         5          5          1
4-628964001091            9          6          0
4-8618860338000          92         89         11
4-14054729209             3          3          3
4-861390732000           44         40         27
4-861580438002           16         16          7
4-861390943000           68         64         23
4-12085979018             8          7          0
4-8618483000001          13         13          3
4-8615161410000         240        227        140
4-8618436048000          96         90         13
4-14054729319             5          3          5
4-60120000274            10          5          8
4-8491020308              1          1          1
4-8615034520007           8          7          3
4-8615203400002          16         16         10
4-8613806427474         105         85         16
4-8613579530000          17         16          0
4-380672059999           20         16          0
4-64277435103             6          6          0
4-12819659999             5          3          4
4-14054729363             3          3          3
4-8613459140324          30         27         11
4-34609090040             1          0          0
4-85292040038             1          1          1
4-447797707011            3          1          0
4-819066519763            3          2          0
4-393358999706            1          1          1
4-491760003004            3          1          1
4-30935102000             2          1          0
4-8615702820004          19         19          3
4-886936000037            8          8          8
4-861390458000           39         37         11
4-8190542113814           4          4          0
4-59894000002             1          1          0
4-886935420615            7          5          7
4-14054729351             4          2          3
4-7921960096422           7          4          1
4-5294100056010           2          2          0
4-959974610116            1          1          1
4-85512000077            11          6          8
4-79126313333             2          2          1
4-8615702810002          22         20          2
4-8615203400001          22         21         14
4-34609093011             1          1          0
4-861514780000           36         35         17
4-861361543000           14         13          7
4-8615034520004          11         10          4
4-8615034640006           8          8          6
4-278291089508            1          1          0
4-13603399751            80         42          0
4-491700600132            1          1          0
4-8613467170006          21         18         12
4-8618841440000          48         45         20
